State,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Florida,34773,25626,19476,14462,11458,9383,8270,7746,7289,5675,4725,5425,5604,6093,5693,6292,6381,5971,4895,4626,4426,3634,3263,2904,2585,2360,2078,1953,696,1777,2023,2135,2174,2227,2208,1934,1923
New York,841,834,831,840,1071,853,710,566,498,415,427,404,335,299,304,309,276,217,206,210,166,164,143,170,202,312,379,387,333,381,375,362,366,356,286,225,184
Pennsylvania,3729,4282,4282,4284,4851,3783,3302,2830,2698,2641,2531,2137,2036,2518,1939,1692,1321,1980,1471,1500,1620,2324,2466,2396,2460,2589,2788,2999,2967,3238,3431,4319,5307,6849,7085,6306,6573
Virginia,13,49,65,32,26,18,17,25,23,16,13,12,12,11,11,13,10,5,8,9,11,25,18,19,26,17,19,16,12,12,11,9,10,14,11,7,7
West Virginia,3473,3227,3628,3524,3555,3145,2835,2621,2243,2143,1963,2068,2048,1918,1948,1680,1509,1471,1471,1400,1226,1456,1481,1735,1696,1726,1992,2126,1501,1842,2146,2573,7239,10330,11572,7636,9469
Illinios,24090,27710,29200,28868,30265,27245,23980,22476,20378,19954,19068,19303,17406,17148,16190,15575,16115,13732,12065,12206,10092,11100,11697,10984,10207,10324,9609,9430,9099,9067,9158,9733,9539,9546,9520,8639,8314
Indiana,4721,5563,5321,5526,5168,4759,3738,3665,3311,3000,3014,3016,2761,2492,2778,2523,2430,2208,1964,2098,2022,1962,1865,1755,1727,1773,1727,1859,1803,1835,1987,2350,2399,2507,2219,1817,1779
Kansas,65810,70525,71594,75729,75407,67034,59884,58824,55485,55428,56928,53613,49625,46732,43767,41789,39835,35541,29046,34463,33942,33380,33973,33879,33620,35668,36590,39663,39466,40468,41507,43743,46846,49513,45467,37938,35822
Kentucky,6548,7349,7886,7777,7790,6475,5743,5458,5414,5409,5485,5479,4595,4013,3492,3602,2988,2921,2777,3465,2969,2721,2538,2548,2535,2340,2666,2645,2609,2519,2326,3198,2305,2626,2862,2595,2477
Michigan,32665,31462,31736,30554,27300,25688,25972,23250,21568,19676,17520,15579,13799,12207,11383,10837,10053,8994,7836,7907,7375,7218,6468,5951,5734,5849,5726,6370,6258,6978,7038,7446,7097,7470,6652,5675,5319
Missouri,226,202,269,285,243,110,110,156,133,146,149,143,135,123,120,115,114,93,92,94,91,95,87,88,86,87,80,99,106,146,118,175,199,196,149,123,113
Nebraska,6671,6872,6380,6452,6943,7098,6091,5978,6230,5889,5832,5474,4868,4216,3793,3541,3337,3174,2663,2957,2922,2782,2753,2506,2408,2313,2335,2394,2239,2331,2544,3025,2808,3050,2910,2288,2125
North Dakota,45424,47271,50690,52652,50857,45628,41351,39343,36744,36717,35891,32894,30915,27575,29335,32317,35832,35562,32882,32719,31691,30803,29411,31152,35675,39591,44788,62322,79318,112524,152387,242325,312294,394603,429583,377803,392127
Ohio,13551,14571,14971,15271,14988,13442,12153,11711,10215,10008,9156,9197,8282,8758,8258,8305,8593,6541,5970,6575,6051,5631,5658,5783,5658,5439,5155,5088,4890,4772,4657,5111,8009,15078,26701,21559,18942
Oklahoma,154056,158621,158604,168385,162739,149105,134378,128874,117493,112273,108094,101807,96625,90973,87490,85379,83364,77578,70556,69976,68531,66421,64916,63977,61262,64236,62901,67299,65165,68098,77208,94434,115220,140086,166801,155679,165920
South Dakota,973,1158,1172,1340,1596,1586,1644,1657,1612,1648,1662,1557,1500,1453,1344,1257,1335,1206,1100,1170,1255,1214,1237,1357,1394,1390,1664,1700,1664,1607,1634,1754,1850,1798,1666,1407,1305
Tennessee,918,1132,1056,920,786,644,614,601,532,506,485,501,419,417,383,381,367,287,344,346,351,275,311,361,324,192,284,338,268,257,296,371,334,330,296,257,271
Alabama,20680,20014,18746,19804,21581,21122,20607,20797,19813,18538,18637,19025,18677,18345,18731,16868,14832,12398,11123,10457,9334,8636,7894,7443,7861,7539,7171,7696,7189,7155,8373,9525,10408,9825,9694,8107,6827
Arkansas,18352,18849,18849,18730,19044,15778,14230,13606,11261,10386,10305,10260,9975,9568,8910,8814,8429,7998,7150,7154,7592,7252,7209,6747,6175,5948,6031,6079,5755,5733,5877,6536,6640,6775,6229,5519,5288
Louisiana,199579,188749,179617,187011,184409,181791,175027,165006,153295,147582,147070,143075,138673,126484,122885,132151,134134,134220,120008,105425,104610,93321,90018,83272,75199,73619,76978,72346,68822,67273,68958,70591,71938,69335,63610,56820,52024
Mississippi,34204,33047,31455,32776,30641,29997,28103,27553,27403,27034,27055,25182,22613,20124,19910,19509,21037,22031,17951,19844,19528,19371,19301,19242,17695,17356,20672,22104,23232,24080,24246,24593,24345,24346,24918,20385,17781
New Mexico,71568,71024,75169,79336,78530,75712,72328,71235,68714,67250,70417,69972,68422,65846,64508,64479,69834,72328,64376,67198,68001,67562,66589,64517,60963,59452,59179,60155,61178,65569,71506,85552,102789,125021,147663,146389,171440
Texas,932350,908217,882911,883174,869218,819595,760962,735495,688169,678478,682616,650623,619090,590735,559646,543342,536584,504662,449233,443397,424297,405776,400664,392714,392601,392481,391261,405938,399308,426719,529492,724422,927417,1157917,1256974,1163213,1272575
Colorado,30303,30545,29050,28845,30246,29309,28802,32352,30655,30453,31382,29787,29398,28613,27977,24953,25617,22364,18469,18481,16520,20522,21508,22532,23227,24501,26183,29946,30365,33014,39472,49619,66222,95560,122792,116481,130732
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,30,215,91
Montana,30813,30921,29225,29761,29768,27072,25059,23338,20956,19810,19579,18482,17448,16528,16530,15919,15526,16483,14937,15428,15920,16990,19420,24718,32787,36294,34907,31596,27835,25332,24155,26494,29288,29897,28557,23178,20706
Utah,25860,22440,29534,34689,40792,39172,35788,33018,28415,27604,24467,22720,21821,20661,19988,19401,19317,19199,16253,15636,15252,13771,13097,14744,16673,17927,19535,22039,22940,24663,26305,30210,35016,40898,37139,30529,34205
Wyoming,130563,118300,118303,124269,128514,121337,115267,113985,107715,103856,99928,96810,87667,79528,78884,73365,70176,64782,61126,60726,57433,54801,52970,51940,51770,52974,54116,53045,51531,53891,54621,57966,63487,76119,86409,72553,75669
Alaska,587337,618910,625527,630401,666233,681310,715955,738143,683979,647309,656349,627322,577495,568951,541654,509999,472949,428850,383199,355199,351411,359382,355603,332441,315387,270481,263595,249893,235510,218904,204829,192401,187923,181130,176235,179169,180467
Arizona,357,335,237,215,175,161,131,113,137,121,111,94,73,65,71,84,82,78,66,59,59,63,47,54,50,55,43,54,46,37,37,52,60,56,37,8,13
California,365370,373176,374161,381621,394002,378059,364608,354730,331174,320868,319497,305488,293090,286060,278977,282409,285172,283627,273017,271132,260663,257898,248093,240138,230230,223015,218518,214533,207262,200370,196172,197211,198928,204699,201284,186079,174107
Nevada,700,613,810,1907,3039,2907,3112,3230,3216,4011,3413,3721,1880,1698,1342,1058,980,799,706,621,572,553,493,463,447,426,408,436,438,426,408,368,334,316,281,277,286
